대출일자,대출기한,대출유형,반납일자,연체일수,소속,신분,변동,학년,등록번호,서명,저자,출판사,청구기호
2024-01-16 15:26:34,2024-01-23,일반,2024-01-24 12:19:10,0,기계공학과,학생,퇴직(졸업),,EM088112,(2023 에듀윌)전기기능사 필기 한권끝장:핵심이론편 + 8개년 기출편 ,유치형,"에듀윌,", 560.77유819ㅈ3
2024-01-16 15:26:34,2024-01-23,일반,2024-01-24 12:19:10,0,기계공학과,학생,퇴직(졸업),,EM087030,(2022)위험물기능사:필기+실기+무료동영상 .[1],박진원,"구민사,", 530.98077박79ㅇv.1
2024-01-16 15:26:35,2024-01-23,일반,2024-01-24 12:19:11,0,기계공학과,학생,퇴직(졸업),,EM087034,(2022 에듀윌)위험물기능사:필기 2주 끝장 ,최창률,"에듀윌,", 530.98077최811ㅇ
2024-01-17 13:34:23,2025-01-16,장기,2024-01-17 13:35:25,0,스마트전기전자공학과,교원(전임),재직(학),,EM088644,(데일 카네기)인간관계론 ,임상훈,"현대지성,", 331.18임51ㅇ
2024-01-17 13:34:45,2025-01-16,장기,2024-01-17 13:35:36,0,스마트전기전자공학과,교원(전임),재직(학),,EM070312,코스모스  ,"세이건,칼","사이언스북스,", 443.1세69ㅋKㅎ
2024-01-17 13:35:53,2025-01-16,장기,,,스마트전기전자공학과,교원(전임),재직(학),,EM088644,(데일 카네기)인간관계론 ,임상훈,"현대지성,", 331.18임51ㅇ
2024-01-17 13:35:54,2025-01-16,장기,,,스마트전기전자공학과,교원(전임),재직(학),,EM070312,코스모스  ,"세이건,칼","사이언스북스,", 443.1세69ㅋKㅎ
2024-01-17 17:13:35,2024-01-24,일반,2024-01-30 16:50:40,0,스마트전기전자공학과,학생,퇴직(졸업),,EM088621,(해커스) 20대기업 인적성 :최신기출유형 + 실전문제  ,"해커스,",해커스잡 :, 325.337해8232
2024-01-19 12:26:43,2024-01-26,일반,2024-01-22 11:54:08,0,스마트소프트웨어학과,학생,휴직(학),,EM086734,헤맨다고 모두 길을 잃는 것은 아니다:김달 에세이 ,김달,"빅피시,", 818김221ㅎ
2024-01-19 13:24:21,2024-01-26,일반,2024-01-29 10:49:22,3,전기전자공학과,학생,퇴직(졸업),,EM085324,(세계 석학들이 내다본)코로나 경제 전쟁:바이러스가 바꿔놓을 뉴노멀 경제학 ,"볼드윈, 리처드",매일경제신문사:, 331.5414볼228ㅋ
2024-01-22 10:06:17,2024-01-29,일반,2024-01-23 11:46:21,0,기계공학과,학생,재직(학),,EM088536,대학 때 놓친 수학 2/e ,"개리티, 토마스 A.","에이콘,", 410개239ㄷKㅈc.2
2024-01-22 13:41:29,2024-02-06,일반,2024-03-20 13:32:40,0,스마트소프트웨어학과,조교,재직(학),,EM088233,혼자 공부하는 자바 :1:1 과외하듯 배우는 프로그래밍 자습서  ,신용권,"한빛미디어,", 005.133신66ㅎc.35
2024-01-22 13:41:29,2024-02-06,일반,2024-03-07 15:00:33,0,스마트소프트웨어학과,조교,재직(학),,EM088210,혼자 공부하는 자바 :1:1 과외하듯 배우는 프로그래밍 자습서  ,신용권,"한빛미디어,", 005.133신66ㅎc.12
2024-01-22 13:41:30,2024-02-06,일반,2024-03-20 13:40:51,0,스마트소프트웨어학과,조교,재직(학),,EM088236,혼자 공부하는 자바 :1:1 과외하듯 배우는 프로그래밍 자습서  ,신용권,"한빛미디어,", 005.133신66ㅎc.38
2024-01-22 13:41:30,2024-02-06,일반,2024-03-07 15:00:34,0,스마트소프트웨어학과,조교,재직(학),,EM088205,혼자 공부하는 자바 :1:1 과외하듯 배우는 프로그래밍 자습서  ,신용권,"한빛미디어,", 005.133신66ㅎc.7
