A,B,C,D,E,F,G,H,I,J,K,L,M,N
2023-04-17,,0,0,0,4,0,3,0,0,4,2,0,13
2023-04-18,,3,1,0,0,2,8,0,1,4,0,0,19
2023-04-19,,6,0,0,1,2,8,0,0,8,3,0,28
2023-04-20,,2,3,0,0,0,2,0,0,4,0,0,11
2023-04-21,,1,2,0,1,0,1,0,0,4,0,0,9
2023-04-24,,1,1,0,0,0,4,0,0,6,0,0,12
2023-04-25,,2,2,0,3,0,5,0,2,12,3,0,29
2023-04-26,,6,1,0,1,4,2,0,1,9,0,0,24
2023-04-27,,4,0,0,1,0,4,0,0,7,0,0,16
2023-04-28,,2,1,0,11,0,2,0,0,8,0,0,24
2023-05-02,,0,0,0,0,0,4,0,0,13,3,0,20
2023-05-03,,4,1,0,1,2,2,0,0,7,1,0,18
2023-05-04,,2,3,0,2,1,3,0,1,6,0,0,18
2023-05-10,,7,1,0,6,5,4,0,1,11,1,0,36
2023-05-11,,4,1,0,2,0,6,0,1,1,0,0,15
2023-05-12,,2,0,0,1,0,4,0,0,8,0,0,15
2023-05-15,,3,3,0,0,0,2,0,0,6,0,0,14
2023-05-16,,0,0,0,1,0,4,0,0,7,0,0,12
2023-05-17,,4,2,0,0,1,4,0,0,9,0,0,20
2023-05-18,,4,0,0,1,0,1,0,0,9,0,0,15
2023-05-19,,0,1,0,0,0,0,0,0,2,0,0,3
2023-05-22,,3,1,0,0,1,2,0,0,9,0,0,16
2023-05-23,,1,1,0,3,2,3,0,0,13,0,0,23
2023-05-24,,5,2,0,3,3,4,0,1,9,0,0,27
2023-05-25,,5,1,0,3,0,0,0,0,7,2,0,18
2023-05-26,,1,1,0,2,0,0,0,0,6,0,0,10
2023-05-30,,4,1,0,2,1,4,0,0,8,0,0,20
2023-05-31,,1,3,3,3,0,2,0,0,8,0,0,20
2023-06-01,,0,0,0,14,0,0,0,0,5,0,0,19
2023-06-02,,2,0,0,1,0,5,0,0,7,0,0,15
2023-06-07,,3,3,0,5,1,1,0,0,12,0,0,25
2023-06-08,,0,1,0,0,0,6,0,0,7,0,0,14
2023-06-09,,3,0,0,5,2,1,0,0,5,0,0,16
2023-06-12,,2,0,0,1,0,2,0,0,6,0,0,11
2023-06-13,,0,0,0,2,1,5,0,0,7,0,0,15
2023-06-14,,1,0,0,3,1,4,0,0,5,0,0,14
2023-06-15,,1,2,0,0,0,6,0,0,6,0,0,15
2023-06-16,,4,0,0,0,0,1,0,0,5,0,0,10
2023-06-19,,2,0,0,2,5,3,0,0,9,0,0,21
2023-06-20,,0,0,0,0,0,4,0,0,5,0,0,9
2023-06-22,,3,0,0,0,0,1,0,0,1,0,0,5
2023-06-23,,5,0,0,9,1,6,0,0,14,0,0,35
2023-06-26,,0,0,0,0,0,5,0,0,1,0,0,6
2023-06-27,,6,0,1,0,0,3,0,0,0,0,0,10
2023-06-28,,0,0,0,0,0,0,0,0,7,0,0,7
2023-06-29,,24,0,0,1,0,6,0,0,5,0,0,36
2023-06-30,,46,1,0,0,0,3,0,0,0,0,0,50
2023-07-03,,9,1,0,0,1,1,0,0,5,0,1,18
2023-07-04,,0,0,0,0,0,4,0,0,0,0,0,4
2023-07-05,,1,3,0,0,0,0,0,0,2,0,0,6
2023-07-06,,1,0,1,1,0,1,0,0,2,0,0,6
2023-07-07,,0,0,0,0,0,3,0,0,0,0,0,3
2023-07-10,,1,2,0,1,0,1,1,0,6,0,0,12
2023-07-11,,1,0,0,0,0,6,0,0,1,0,0,8
2023-07-12,,0,0,0,0,0,0,0,0,1,0,0,1
2023-07-13,,1,0,0,2,0,0,0,0,0,0,0,3
2023-07-14,,3,0,0,1,0,1,0,0,6,0,0,11
2023-07-17,,2,0,0,3,0,3,0,0,7,0,0,15
2023-07-18,,1,0,0,0,0,0,0,0,0,0,0,1
2023-07-19,,0,0,0,0,0,1,0,0,0,0,0,1
2023-07-20,,3,0,0,0,0,0,0,0,0,0,0,3
2023-07-21,,0,0,0,0,0,1,0,0,1,0,0,2
2023-07-24,,0,0,0,0,0,0,0,0,4,0,0,4
2023-07-25,,1,2,0,0,0,1,0,0,2,0,0,6
2023-07-27,,0,1,0,0,0,0,0,0,1,1,0,3
2023-07-31,,1,0,0,4,0,0,0,0,2,0,0,7
2023-08-01,,0,1,1,0,0,0,0,0,4,1,0,7
2023-08-02,,1,0,0,0,0,0,0,0,0,0,0,1
2023-08-03,,0,0,0,0,0,1,0,0,0,0,0,1
2023-08-07,,0,0,0,0,0,1,0,0,2,2,0,5
2023-08-09,,2,0,0,0,0,0,0,0,0,0,0,2
2023-08-10,,0,0,0,0,0,1,0,0,0,0,0,1
2023-08-11,,0,0,0,0,0,1,1,0,0,2,0,4
2023-08-14,,0,0,0,0,0,0,0,0,2,0,0,2
2023-08-16,,1,0,0,0,0,0,0,0,0,0,0,1
2023-08-17,,0,0,0,1,0,0,1,0,0,0,0,2
2023-08-21,,1,0,0,0,0,0,0,0,2,0,0,3
2023-08-22,,1,0,0,0,0,0,1,0,2,0,0,4
2023-08-23,,0,1,0,1,0,0,0,0,0,0,0,2
2023-08-24,,0,1,0,0,0,0,0,0,0,0,0,1
2023-08-25,,0,0,0,0,0,0,0,0,1,1,0,2
2023-08-28,,7,4,1,2,1,3,1,0,7,0,0,26
2023-08-29,,0,0,0,4,0,9,0,0,12,0,1,26
2023-08-30,,2,0,0,0,2,6,0,0,8,0,0,18
2023-08-31,,0,0,0,2,0,6,0,1,6,0,0,15
2023-09-01,,2,1,0,0,1,4,0,0,0,0,0,8
2023-09-04,,4,3,2,4,0,18,0,0,17,1,0,49
2023-09-05,,2,0,0,1,1,6,0,0,5,0,0,15
2023-09-06,,1,2,0,0,0,1,0,0,16,0,0,20
2023-09-07,,3,1,0,4,2,1,0,1,7,0,0,19
2023-09-08,,0,0,0,0,0,2,0,0,0,0,0,2
2023-09-09,,0,0,0,0,0,0,0,0,2,0,0,2
2023-09-11,,3,1,0,1,3,13,0,0,10,1,0,32
2023-09-12,,2,0,0,1,0,4,0,1,5,0,0,13
2023-09-13,,1,0,0,2,1,3,0,0,7,2,0,16
2023-09-14,,3,0,0,0,0,5,0,0,0,0,0,8
2023-09-15,,3,0,0,2,0,1,1,0,0,0,0,7
2023-09-18,,1,3,2,1,0,10,0,0,9,0,0,26
2023-09-19,,0,0,0,4,0,7,0,0,6,0,0,17
2023-09-20,,1,1,0,0,0,2,0,0,5,0,0,9
2023-09-21,,2,1,0,0,0,3,0,1,1,1,0,9
2023-09-22,,0,1,0,2,1,1,0,0,2,0,0,7
2023-09-25,,0,0,0,3,2,8,0,3,8,5,0,29
2023-09-26,,0,1,0,2,1,2,0,0,2,0,0,8
2023-09-27,,4,0,0,9,0,5,0,0,1,1,0,20
2023-10-04,,4,8,0,6,0,5,1,2,1,0,0,27
2023-10-05,,0,0,0,1,0,3,0,0,0,0,0,4
2023-10-06,,1,0,0,1,0,3,0,0,1,0,0,6
2023-10-10,,0,1,0,8,1,5,4,0,0,0,0,19
2023-10-11,,3,2,0,0,0,9,0,0,6,4,0,24
2023-10-12,,0,0,0,0,0,5,0,0,5,0,0,10
2023-10-13,,0,1,0,0,1,1,0,0,5,0,0,8
2023-10-16,,0,0,0,6,0,9,1,0,7,0,0,23
2023-10-17,,3,1,0,0,0,2,0,0,3,1,0,10
2023-10-18,,0,0,0,1,1,1,0,0,0,0,0,3
2023-10-19,,0,0,0,2,0,5,0,1,0,0,0,8
2023-10-20,,0,0,0,0,0,1,0,0,5,0,0,6
2023-10-23,,0,0,0,1,3,4,0,0,2,1,0,11
2023-10-24,,0,1,0,5,0,1,0,0,3,1,0,11
2023-10-25,,3,0,0,0,0,6,0,0,0,0,0,9
2023-10-26,,0,0,0,0,2,4,0,0,1,3,0,10
2023-10-27,,1,0,0,0,1,3,0,0,3,0,0,8
2023-10-30,,1,1,0,1,0,8,1,0,4,0,0,16
2023-10-31,,0,0,0,3,1,1,0,0,1,1,0,7
2023-11-01,,0,0,0,1,1,2,0,0,5,1,0,10
2023-11-02,,4,4,0,3,0,5,0,0,4,1,0,21
2023-11-03,,0,5,0,1,0,1,0,0,2,0,0,9
2023-11-06,,5,4,0,7,0,2,0,1,3,0,0,22
2023-11-07,,0,0,0,1,0,1,0,0,12,0,0,14
2023-11-08,,4,0,0,2,1,6,0,0,5,2,0,20
2023-11-09,,0,4,0,1,2,1,0,3,12,0,0,23
2023-11-10,,3,1,0,0,0,4,0,0,4,0,0,12
2023-11-13,,5,0,0,5,3,3,3,1,9,0,0,29
2023-11-14,,2,2,0,7,0,2,0,2,8,0,0,23
2023-11-15,,4,0,0,1,1,2,0,0,2,0,0,10
2023-11-16,,1,3,0,1,1,0,0,0,7,0,0,13
2023-11-17,,0,2,0,2,2,10,3,0,5,0,0,24
2023-11-20,,2,4,0,12,3,2,1,9,6,0,0,39
2023-11-21,,5,4,0,11,3,1,4,4,5,1,0,38
2023-11-22,,3,3,0,2,0,6,5,0,21,2,0,42
2023-11-23,,0,5,0,11,4,1,0,10,14,2,0,47
2023-11-24,,4,1,0,5,0,1,2,4,5,0,0,22
2023-11-27,,0,2,0,5,2,4,2,0,4,0,0,19
2023-11-28,,3,0,0,5,0,4,5,1,5,0,0,23
2023-11-29,,3,0,0,2,2,4,0,0,3,0,0,14
2023-11-30,,1,0,0,2,0,5,0,0,1,0,0,9
2023-12-01,,4,2,0,1,0,3,0,21,3,2,0,36
2023-12-04,,4,0,0,4,2,5,0,0,4,2,0,21
2023-12-05,,0,1,0,3,1,12,6,1,4,0,0,28
2023-12-06,,2,1,1,3,0,2,0,0,0,0,0,9
2023-12-07,,0,0,0,0,2,3,0,1,0,0,0,6
2023-12-08,,0,0,0,9,1,6,0,0,0,0,0,16
2023-12-11,,0,0,0,1,2,4,0,0,1,0,0,8
2023-12-12,,3,0,0,7,1,2,0,0,1,0,0,14
2023-12-13,,0,0,0,1,0,1,0,0,0,0,0,2
2023-12-14,,1,1,0,6,0,8,0,0,0,0,0,16
2023-12-15,,0,0,0,0,1,4,0,0,0,0,0,5
2023-12-18,,0,0,0,3,1,8,0,3,2,0,0,17
2023-12-19,,1,0,0,0,0,3,0,0,0,0,0,4
2023-12-20,,1,0,2,0,1,3,0,0,0,0,0,7
2023-12-21,,0,0,0,2,0,1,0,0,0,0,0,3
2023-12-22,,0,0,0,0,3,0,0,0,0,0,0,3
2023-12-26,,5,0,0,0,0,0,0,5,2,0,0,12
,총계,433,222,17,398,126,694,47,96,1049,80,2,3164
,비율(%),13.69,7.02,0.54,12.58,3.98,21.93,1.49,3.03,33.15,2.53,0.06,100
구분,양서 단행본,0,100,200,300,400,500,600,700,800,900,ETC,합계
2023-04-04,,1,0,0,0,0,0,0,0,0,0,0,1
2023-08-30,,0,0,0,0,1,0,0,0,0,0,0,1
,총계,1,0,0,0,1,0,0,0,0,0,0,2
,비율(%),50,0,0,0,50,0,0,0,0,0,0,100
